year,month,day,dow,doy,quarter,is_weekend,days_to_eom,days_from_som,dim,is_last1,is_first1,is_last2,is_first2,is_last3,is_first3,is_eom_payday,payday_intensity,t_days,t_years,regime_pre2019,regime_2019,regime_post2019,sin_y1,cos_y1,sin_y2,cos_y2,sin_y3,cos_y3,sin_y4,cos_y4,sin_y5,cos_y5,sin_w1,cos_w1,sin_m1,cos_m1,sin_w2,cos_w2,sin_m2,cos_m2,hol_new_year,hol_womens_day,hol_reunification,hol_labor_day,hol_national_day,hol_vn_womens_day,hol_dd_1111,hol_dd_1212,hol_christmas_eve,hol_christmas,hol_hung_kings,tet_days_diff,tet_in_7,tet_in_14,tet_in_30,tet_before_7,tet_after_7,tet_on,tet_intensity,tet_post_recovery,hol_black_friday,promo_spring_sale,promo_spring_sale_since,promo_spring_sale_until,promo_spring_sale_disc,promo_mid_year,promo_mid_year_since,promo_mid_year_until,promo_mid_year_disc,promo_fall_launch,promo_fall_launch_since,promo_fall_launch_until,promo_fall_launch_disc,promo_year_end,promo_year_end_since,promo_year_end_until,promo_year_end_disc,promo_urban_blowout,promo_urban_blowout_since,promo_urban_blowout_until,promo_urban_blowout_disc,promo_rural_special,promo_rural_special_since,promo_rural_special_until,promo_rural_special_disc,is_odd_year,is_q1,is_q2,is_q3,is_q4,q3_odd_year
2018,11,19,0,323,4,0,11,18,30,0,0,0,0,0,0,0,0.0,-408,-1.1170431211498972,1,0,0,-0.6644834655228552,0.7473029667054297,-0.9931409302238695,0.11692344809347308,-0.819870861502921,-0.5725484874300675,-0.23224292400906835,-0.9726578145718658,0.4727592092862804,-0.8811916534074814,0.0,1.0,-0.587785252292473,-0.8090169943749476,0.0,1.0,0.9510565162951535,0.30901699437494773,0,0,0,0,0,0,0,0,0,0,0,999,0,0,0,0,0,0,0.0,0,0,0,999.0,999.0,0.0,0,999.0,999.0,0.0,0,999.0,999.0,0.0,1,1.0,44.0,20.0,0,999.0,999.0,0.0,0,999.0,999.0,0.0,0,0,0,0,1,0
2019,1,13,6,13,1,1,18,12,31,0,0,0,0,0,0,0,0.0,-353,-0.9664613278576317,0,1,0,0.22177215755648186,0.975098513039961,0.4324994021339788,0.901634220265486,0.6216868902665479,0.7832658619336791,0.7799125224167177,0.6258885343075018,0.8992961915530253,0.4373400963303323,-0.7818314824680299,0.6234898018587334,0.6513724827222223,-0.7587581226927909,-0.9749279121818235,-0.2225209339563148,-0.9884683243281114,0.15142777750457667,0,0,0,0,0,0,0,0,0,0,0,-23,0,0,1,0,0,0,0.23333333333333334,0,0,0,999.0,999.0,0.0,0,999.0,999.0,0.0,0,999.0,999.0,0.0,0,999.0,999.0,0.0,0,999.0,999.0,0.0,0,999.0,999.0,0.0,1,1,0,0,0,0
2022,2,28,0,59,1,0,0,27,28,1,0,1,0,1,0,1,0.8,789,2.1601642710472277,0,0,1,0.8494504794814806,0.527668345562516,0.8964562582905575,-0.44313223418263453,0.0966127018812031,-0.9953220513156602,-0.7944973291665992,-0.6072676460566135,-0.9350748843515574,0.3544502230989869,0.0,1.0,-0.22252093395631464,0.9749279121818235,0.0,1.0,-0.43388373911755856,0.9009688679024189,0,0,0,0,0,0,0,0,0,0,0,27,0,0,1,0,0,0,0.1,0,0,0,999.0,999.0,0.0,0,999.0,999.0,0.0,0,999.0,999.0,0.0,0,999.0,999.0,0.0,0,999.0,999.0,0.0,0,999.0,999.0,0.0,0,1,0,0,0,0
2020,1,26,6,26,1,1,5,25,31,0,0,0,0,0,0,1,0.25,25,0.06844626967830253,0,0,1,0.4324994021339788,0.901634220265486,0.7799125224167177,0.6258885343075018,0.9738922359149924,0.22701082094141847,0.9762766110869321,-0.21652708524481437,0.7865965660866021,-0.6174672802835514,-0.7818314824680299,0.6234898018587334,-0.9377521321470804,0.3473052528448203,-0.9749279121818235,-0.2225209339563148,-0.6513724827222221,-0.758758122692791,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0.9666666666666667,0,0,0,999.0,999.0,0.0,0,999.0,999.0,0.0,0,999.0,999.0,0.0,0,999.0,999.0,0.0,0,999.0,999.0,0.0,0,999.0,999.0,0.0,0,1,0,0,0,0
2020,7,14,1,196,3,0,17,13,31,0,0,0,0,0,0,0,0.0,195,0.5338809034907598,0,0,1,-0.2280577712215198,-0.9736476020539838,0.4440958041592176,0.8959793059709459,-0.6367278583821979,-0.7710886034432227,0.7958013007903698,0.6055578334563557,-0.9129321980697738,-0.40811126145634763,0.7818314824680298,0.6234898018587336,0.48530196253108104,-0.8743466161445821,0.9749279121818236,-0.22252093395631434,-0.848644257494751,0.5289640103269624,0,0,0,0,0,0,0,0,0,0,0,999,0,0,0,0,0,0,0.0,0,0,0,999.0,999.0,0.0,1,21.0,8.0,18.0,0,999.0,999.0,0.0,0,999.0,999.0,0.0,0,999.0,999.0,0.0,0,999.0,999.0,0.0,0,0,0,1,0,0
2015,9,6,6,249,3,1,24,5,30,0,0,0,0,0,0,0,0.0,-1578,-4.3203285420944555,1,0,0,-0.9093882203647925,-0.4159483918249421,0.756517135610563,-0.6539738706764888,0.28004404847434183,0.9599871514317785,-0.9894848788166603,-0.14463635294482202,0.5431052396834348,-0.8396646346181307,-0.7818314824680299,0.6234898018587334,0.8660254037844386,0.5000000000000001,-0.9749279121818235,-0.2225209339563148,0.8660254037844387,-0.4999999999999998,0,0,0,0,0,0,0,0,0,0,0,999,0,0,0,0,0,0,0.0,0,0,0,999.0,999.0,0.0,0,999.0,999.0,0.0,1,7.0,25.0,10.0,0,999.0,999.0,0.0,0,999.0,999.0,0.0,0,999.0,999.0,0.0,1,0,0,1,0,1
2014,4,20,6,110,2,1,10,19,30,0,0,0,0,0,0,0,0.0,-2082,-5.700205338809035,1,0,0,0.9487718864399473,-0.31596187665790293,-0.5995514915196489,-0.8003361849976323,-0.5699010576127624,0.821713322596059,0.9596855068649522,0.2810760180331286,-0.03654700988811993,-0.9993319348786156,-0.7818314824680299,0.6234898018587334,-0.743144825477394,-0.6691306063588585,-0.9749279121818235,-0.2225209339563148,0.9945218953682734,-0.10452846326765287,0,0,0,0,0,0,0,0,0,0,0,999,0,0,0,0,0,0,0.0,0,0,0,999.0,999.0,0.0,0,999.0,999.0,0.0,0,999.0,999.0,0.0,0,999.0,999.0,0.0,0,999.0,999.0,0.0,0,999.0,999.0,0.0,0,0,1,0,0,0
2021,10,15,4,288,4,0,16,14,31,0,0,0,0,0,0,0,0.0,653,1.787816563997262,0,0,1,-0.9708824104813836,0.23955655912092708,-0.46516249913190355,-0.8852253099642835,0.748016955033124,-0.6636796177245262,0.8235472349556001,0.5672476988027237,-0.35344467127408813,0.9354554315134163,-0.433883739117558,-0.9009688679024191,0.29936312297335804,-0.9541392564000488,0.7818314824680296,0.6234898018587337,-0.5712682150947924,0.8207634412072763,0,0,0,0,0,0,0,0,0,0,0,999,0,0,0,0,0,0,0.0,0,0,0,999.0,999.0,0.0,0,999.0,999.0,0.0,0,999.0,999.0,0.0,0,999.0,999.0,0.0,0,999.0,999.0,0.0,0,999.0,999.0,0.0,1,0,0,0,1,0
2018,3,30,4,89,1,0,1,29,31,0,0,1,0,1,0,1,1.0,-642,-1.757700205338809,1,0,0,0.9992088560679753,0.03977011384605572,0.07947729992362097,-0.9968366760893436,-0.9928872135356962,-0.11905873003404988,-0.15845177496083632,0.9873667175937016,0.9802839232770918,0.19759410356706691,-0.433883739117558,-0.9009688679024191,-0.3943558551133187,0.9189578116202306,0.7818314824680296,0.6234898018587337,-0.7247927872291202,0.6889669190756863,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0.0,0,0,1,12.0,18.0,12.0,0,999.0,999.0,0.0,0,999.0,999.0,0.0,0,999.0,999.0,0.0,0,999.0,999.0,0.0,0,999.0,999.0,0.0,0,1,0,0,0,0
2017,4,1,5,91,2,1,29,0,30,0,1,0,1,0,1,1,0.8,-1005,-2.751540041067762,1,0,0,0.9999855506507186,0.005375731557583884,0.01075130776352193,-0.9999422030204416,-0.9998699583618592,-0.016126573270657762,-0.021501372740813793,0.999768818762748,0.9996387871459109,0.026875550849280297,-0.9749279121818236,-0.2225209339563146,0.0,1.0,0.43388373911755845,-0.9009688679024189,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,999,0,0,0,0,0,0,0.0,0,0,1,14.0,16.0,12.0,0,999.0,999.0,0.0,0,999.0,999.0,0.0,0,999.0,999.0,0.0,0,999.0,999.0,0.0,0,999.0,999.0,0.0,1,0,1,0,0,0
